Quality	#1 ID	#2 ID	#1 String	#2 String
1	366054000	301976001	finding of fluorescein tear drainage	fluorescein tear drainage impaired
1	73590005	282803008	peripheral nerve injury	injury of otic ganglion
1	188498009	188507008	lymphosarcoma	lymphosarcoma of lymph nodes of multiple sites
1	88233000	200984007	parapsoriasis	parapsoriasis papulata
1	300139005	247266001	finding of appearance of tympanic membrane	featureless tympanic membrane
1	86505009	241780004	toxic effect from eating mushrooms	liberty cap causing toxic effect
1	73481001	31452001	gastric ulcer without hemorrhage and without perforation	gastric ulcer without hemorrhage and without perforation but with obstruction
1	23406007	23039002	fracture of upper limb	multiple fractures of upper limb with sternum and ribs
1	59276001	399875001	proliferative retinopathy co-occurrent and due to diabetes mellitus	non-high-risk proliferative diabetic retinopathy with clinically significant macular edema
1	75047002	232442001	disorder of skeletal muscle	congenital laryngeal abductor palsy
1	240407009	240409007	delayed hypersensitivity reaction co-occurrent and due to leprosy	downgrading type 1 lepra reaction
1	296645008	296625000	fusidic acid overdose of undetermined intent	sodium fusidate overdose of undetermined intent
1	397825006	723102007	gastric ulcer	gastric ulcer due to parasitic infection
1	609500009	62888008	induced termination of pregnancy complicated by perforation of bladder	legal abortion with perforation of bladder
1	262971000	781439002	tendon injury - hand	strain of finger tendon
0	31031000119102	110477003	physical deconditioning	unrealistic expectation from treatment
0	203357004	203437004	hypertrophic osteoarthropathy	osteoporosis in endocrine disorders
0	293233003	441858005	combined oral contraceptive adverse reaction	adverse reaction caused by trastuzumab administered by infusion
0	19480005	199260001	axis v diagnosis	mental disorder in the puerperium - baby delivered
0	124165006	124287008	deficiency of succinate dehydrogenase	deficiency of tyrosine aminotransferase
0	85665009	272419002	tumor confined within capsule	large tumor
0	70835005	230357002	disorder of basal ganglia	urate encephalopathy
0	396409001	125114005	specimen involvement by satellite nodule(s) cannot be determined	normal tissue morphology by light microscopy
0	105728003	249997000	nursing observation and/or diagnosis	falls like log
0	294084000	293718005	allergy to orphenadrine	allergy to local anesthetic
0	106176003	417428006	endocrine finding	heaf test grade 3
0	191708009	198280005	chronic anxiety	parasitophobia
0	24354007	39451005	poisoning caused by colchicine	toxic effect of acid
0	296389000	296042005	clonidine overdose	accidental butabarbitone overdose
